Chinese	English
毫无疑问，它显示了国际社会在真正的政治决心驱使和支持下全面应对的能力。	Without doubt, it has demonstrated the international community's capacity to respond fully when it is driven and underpinned by real political resolve.
为了庆祝超级碗，我们询问了观看比赛时你身体会发生什么。答案可能会让你感到惊讶。	In honor of the Super Bowl, we asked what happens to your body when you watch a game. The answers may surprise you.
我们已经开始拍摄我们的节目，展示我们关于罗马人的所学！	We have started to film our programmes showing what we have learnt about the Romans!
全民基本收入没有这种作用，而住房券制度可能会。	A universal basic income does nothing of the sort whereas a housing voucher system might.
你会活着感激我的。	You'll live to be grateful to me.
所以人们在这里建房是违法的	So people build you supposedly against the law
己接受本公约的各缔约方自	shall enter into force for the Paries which have accepted it on
那是我们进入塑造我们的故事的核心，这些故事把我们带到了一个不同的交流场所	That's when we get to the heart of of the stories that really matter that shape us that take us to a different place of of communion
当然，遗传学家对任何事情都不满意。	Of course geneticists are never happy with anything.
特别是经贸合作成果显著，两国工商界已建立了很好的合作关系。	In particular, remarkable achievements have been made in bilateral economic and trade cooperation and the business communities of the two countries have established very good cooperative relations.
那是我唯一听书的时间，而且总是某种非虚构的东西。	That is the sole time when i listen to books and it's always just some sort of nonfiction thing.
就本案的情况而言，委员会认为，申诉人没有履行举证责任。	In the circumstances of this case, in the Committee's opinion, the complainant has not discharged that burden of proof.
塔雅尼是对的。	Tajani is right.
以色列进一步认为，爆炸物的类型及其部署方式均表明，上述爆炸物实际上是真主党行动人员所埋设。	Israel further believes that the types of explosives and the manner in which they were deployed demonstrate that it was Hizbullah operatives that, in fact, planted the aforementioned explosives.
他认为，应当在计划集会日之前尽早，例如48小时前发出这类通知。	In his view, such notification should be submitted a maximum of, for example, 48 hours prior to the day the assembly is planned to take place.
好吧。打我。	Okay hit me.
但那发生在大约两个周末前。	But that happened about two weekends ago.
这不是援引或行使外交保护的充分依据，因为现在人们认识到，根据风险理论，国际责任不仅可以因一个国家的不法行为而产生，还可以因一个国家合法行为造成的损害而产生。	This is not a sufficient basis for invoking or exercising diplomatic protection inasmuch as it is now recognized that, according to the theory of risk, international responsibility arises not only from the wrongful act of a State, but also as a result of injuries caused by the lawful acts of a State.
因此，撰文者认为，在没有用尽低层法院的补救办法之前对养恤金均分条款提出的宪法申诉也是正当可以受理的。	Thus, the author asserts that her constitutional complaint was admissible and justified also against the statutory equalization of pensions without prior exhaustion of remedies in the lower courts.
摩洛哥是非洲集团成员，是我们的兄弟国家，我们最充分地同情和支持摩洛哥战胜这场考验。	Morocco, a brother country member of the African Group, has our fullest sympathy and support in surmounting this trial.
安装。这包括替换和扩展	installations. This means replacing and expanding
这损害了幼儿的体质。	Which injure the constitutions of young children.
我们已习惯被突然告知这些惊喜。	We had got used to such surprises being sprung on us.
二、使用武力的适得其反的后果。过分热衷使用火力会疏远当地社区，加剧怨恨情绪，壮大叛乱分子队伍。	2. Counterproductive consequences of force application. Overzealous use of firepower risks alienating local communities, fueling resentment, and swelling insurgent ranks.
